 -1.6005E+01  4.5228E-05
 -1.5994E+01  5.4629E-05
 -1.5982E+01  7.0676E-05
 -1.5970E+01  8.4228E-05
 -1.5958E+01  8.7909E-05
 -1.5946E+01  7.9354E-05
 -1.5934E+01  6.2043E-05
 -1.5922E+01  4.3511E-05
 -1.5910E+01  3.1852E-05
 -1.5898E+01  3.2131E-05
 -1.5886E+01  4.4225E-05
 -1.5874E+01  6.2972E-05
 -1.5863E+01  8.0452E-05
 -1.5851E+01  8.9362E-05
 -1.5839E+01  8.5988E-05
 -1.5827E+01  7.1553E-05
 -1.5815E+01  5.1444E-05
 -1.5803E+01  3.2768E-05
 -1.5791E+01  2.1366E-05
 -1.5779E+01  1.9546E-05
 -1.5767E+01  2.5465E-05
 -1.5755E+01  3.4307E-05
 -1.5743E+01  4.0635E-05
 -1.5732E+01  4.0840E-05
 -1.5720E+01  3.4597E-05
 -1.5708E+01  2.4765E-05
 -1.5696E+01  1.5866E-05
 -1.5684E+01  1.1904E-05
 -1.5672E+01  1.4526E-05
 -1.5660E+01  2.2328E-05
 -1.5648E+01  3.1586E-05
 -1.5636E+01  3.8010E-05
 -1.5624E+01  3.8702E-05
 -1.5612E+01  3.3418E-05
 -1.5601E+01  2.4592E-05
 -1.5589E+01  1.6164E-05
 -1.5577E+01  1.1760E-05
 -1.5565E+01  1.3071E-05
 -1.5553E+01  1.9152E-05
 -1.5541E+01  2.6931E-05
 -1.5529E+01  3.2660E-05
 -1.5517E+01  3.3633E-05
 -1.5505E+01  2.9394E-05
 -1.5493E+01  2.1899E-05
 -1.5481E+01  1.4611E-05
 -1.5470E+01  1.0950E-05
 -1.5458E+01  1.2802E-05
 -1.5446E+01  1.9742E-05
 -1.5434E+01  2.9284E-05
 -1.5422E+01  3.7995E-05
 -1.5410E+01  4.2937E-05
 -1.5398E+01  4.2786E-05
 -1.5386E+01  3.8185E-05
 -1.5374E+01  3.1227E-05
 -1.5362E+01  2.4401E-05
 -1.5350E+01  1.9505E-05
 -1.5339E+01  1.7042E-05
 -1.5327E+01  1.6318E-05
 -1.5315E+01  1.6100E-05
 -1.5303E+01  1.5430E-05
 -1.5291E+01  1.4165E-05
 -1.5279E+01  1.2953E-05
 -1.5267E+01  1.2714E-05
 -1.5255E+01  1.3951E-05
 -1.5243E+01  1.6308E-05
 -1.5231E+01  1.8670E-05
 -1.5219E+01  1.9785E-05
 -1.5208E+01  1.9089E-05
 -1.5196E+01  1.7253E-05
 -1.5184E+01  1.6104E-05
 -1.5172E+01  1.7848E-05
 -1.5160E+01  2.3920E-05
 -1.5148E+01  3.4019E-05
 -1.5136E+01  4.5857E-05
 -1.5124E+01  5.5863E-05
 -1.5112E+01  6.0613E-05
 -1.5100E+01  5.8365E-05
 -1.5088E+01  4.9993E-05
 -1.5077E+01  3.8809E-05
 -1.5065E+01  2.9270E-05
 -1.5053E+01  2.5074E-05
 -1.5041E+01  2.7507E-05
 -1.5029E+01  3.4829E-05
 -1.5017E+01  4.3056E-05
 -1.5005E+01  4.7856E-05
 -1.4993E+01  4.6729E-05
 -1.4981E+01  4.0471E-05
 -1.4969E+01  3.3182E-05
 -1.4957E+01  3.0697E-05
 -1.4946E+01  3.8066E-05
 -1.4934E+01  5.7171E-05
 -1.4922E+01  8.5553E-05
 -1.4910E+01  1.1704E-04
 -1.4898E+01  1.4392E-04
 -1.4886E+01  1.5979E-04
 -1.4874E+01  1.6186E-04
 -1.4862E+01  1.5163E-04
 -1.4850E+01  1.3391E-04
 -1.4838E+01  1.1441E-04
 -1.4826E+01  9.7379E-05
 -1.4815E+01  8.4229E-05
 -1.4803E+01  7.3857E-05
 -1.4791E+01  6.4367E-05
 -1.4779E+01  5.5147E-05
 -1.4767E+01  4.8065E-05
 -1.4755E+01  4.6904E-05
 -1.4743E+01  5.5152E-05
