-15.9700000000 0.0000842280
-15.9220000000 0.0000435110
-15.8740000000 0.0000629720
-15.8270000000 0.0000715530
-15.7790000000 0.0000195460
-15.7320000000 0.0000408400
-15.6840000000 0.0000119040
-15.6360000000 0.0000380100
-15.5890000000 0.0000161640
-15.5410000000 0.0000269310
-15.4930000000 0.0000218990
-15.4460000000 0.0000197420
-15.3980000000 0.0000427860
-15.3500000000 0.0000195050
-15.3030000000 0.0000154300
-15.2550000000 0.0000139510
-15.2080000000 0.0000190890
-15.1600000000 0.0000239200
-15.1120000000 0.0000606130
-15.0650000000 0.0000292700
-15.0170000000 0.0000430560
-14.9690000000 0.0000331820
-14.9220000000 0.0000855530
-14.8740000000 0.0001618600
-14.8260000000 0.0000973790
-14.7790000000 0.0000551470
-14.7310000000 0.0000732220
-14.6840000000 0.0001202400
-14.6360000000 0.0002002000
-14.5880000000 0.0011583000
-14.5410000000 0.0016296000
-14.4930000000 0.0010033000
-14.4450000000 0.0004768100
-14.3980000000 0.0014232000
-14.3500000000 0.0054583000
-14.3020000000 0.0061938000
-14.2550000000 0.0021231000
-14.2070000000 0.0004285200
-14.1600000000 0.0008298800
-14.1120000000 0.0013691000
-14.0640000000 0.0012342000
-14.0170000000 0.0003116200
-13.9690000000 0.0001141900
-13.9210000000 0.0001203900
-13.8740000000 0.0000607360
-13.8260000000 0.0000810650
-13.7780000000 0.0000786890
-13.7310000000 0.0000790320
-13.6830000000 0.0000319370
-13.6360000000 0.0000267680
-13.5880000000 0.0000173860
-13.5400000000 0.0000265060
-13.4930000000 0.0000158170
-13.4450000000 0.0000117920
-13.3970000000 0.0000151430
-13.3020000000 0.0000220260
-13.2070000000 0.0000127670
-13.1120000000 0.0000155450
-13.0640000000 0.0000100280
-13.0160000000 0.0000291430
-12.9690000000 0.0000244320
-12.9210000000 0.0000220550
-12.8730000000 0.0000299910
-12.8260000000 0.0000303710
-12.7780000000 0.0000878010
-12.7310000000 0.0000714730
-12.6830000000 0.0000826780
-12.6350000000 0.0000551190
-12.5880000000 0.0001346100
-12.5400000000 0.0001296700
-12.4920000000 0.0009335400
-12.4450000000 0.0017926000
-12.3970000000 0.0011933000
-12.3490000000 0.0005393800
-12.3020000000 0.0009776300
-12.2540000000 0.0056562000
-12.2070000000 0.0084364000
-12.1590000000 0.0036646000
-12.1110000000 0.0005127700
-12.0640000000 0.0008367800
-12.0160000000 0.0018312000
-11.9680000000 0.0020513000
-11.9210000000 0.0006866900
-11.8730000000 0.0003106200
-11.8250000000 0.0002342100
-11.7780000000 0.0002005800
-11.7300000000 0.0001909900
-11.6830000000 0.0003793400
-11.6350000000 0.0007639900
-11.5870000000 0.0003117300
-11.5400000000 0.0001932100
-11.4920000000 0.0002002100
-11.4440000000 0.0001551700
-11.3970000000 0.0002479400
-11.3490000000 0.0000868670
-11.3010000000 0.0001156200
-11.2540000000 0.0001063300
-11.2060000000 0.0000961870
-11.1590000000 0.0001266700
-11.1110000000 0.0000680060
-11.0630000000 0.0000550060
-11.0160000000 0.0000612910
-10.9680000000 0.0000659280
-10.9200000000 0.0000672760
-10.8730000000 0.0000951680
-10.8250000000 0.0000726600
-10.7770000000 0.0000839810
-10.7300000000 0.0000985130
-10.6820000000 0.0001617600
-10.6350000000 0.0002236200
-10.5870000000 0.0001620500
-10.5390000000 0.0000995020
-10.4920000000 0.0001135500
-10.4440000000 0.0001579500
-10.3960000000 0.0005025300
-10.3490000000 0.0010921000
