 -3.5000E+01  5.2899E-05
 -3.4988E+01  6.0730E-05
 -3.4976E+01  6.5227E-05
 -3.4964E+01  6.4969E-05
 -3.4952E+01  5.9512E-05
 -3.4940E+01  4.9713E-05
 -3.4929E+01  3.7629E-05
 -3.4917E+01  2.5984E-05
 -3.4905E+01  1.7366E-05
 -3.4893E+01  1.3440E-05
 -3.4881E+01  1.4468E-05
 -3.4869E+01  1.9311E-05
 -3.4857E+01  2.5898E-05
 -3.4845E+01  3.1983E-05
 -3.4833E+01  3.5882E-05
 -3.4821E+01  3.6930E-05
 -3.4809E+01  3.5508E-05
 -3.4798E+01  3.2676E-05
 -3.4786E+01  2.9612E-05
 -3.4774E+01  2.7090E-05
 -3.4762E+01  2.5249E-05
 -3.4750E+01  2.3683E-05
 -3.4738E+01  2.1802E-05
 -3.4726E+01  1.9250E-05
 -3.4714E+01  1.6172E-05
 -3.4702E+01  1.3193E-05
 -3.4690E+01  1.1129E-05
 -3.4678E+01  1.0571E-05
 -3.4667E+01  1.1551E-05
 -3.4655E+01  1.3456E-05
 -3.4643E+01  1.5248E-05
 -3.4631E+01  1.5899E-05
 -3.4619E+01  1.4843E-05
 -3.4607E+01  1.2237E-05
 -3.4595E+01  8.9221E-06
 -3.4583E+01  6.0769E-06
 -3.4571E+01  4.7268E-06
 -3.4559E+01  5.3168E-06
 -3.4547E+01  7.5324E-06
 -3.4536E+01  1.0445E-05
 -3.4524E+01  1.2906E-05
 -3.4512E+01  1.4022E-05
 -3.4500E+01  1.3489E-05
 -3.4488E+01  1.1661E-05
 -3.4476E+01  9.3399E-06
 -3.4464E+01  7.3844E-06
 -3.4452E+01  6.3419E-06
 -3.4440E+01  6.2557E-06
 -3.4428E+01  6.7246E-06
 -3.4416E+01  7.1665E-06
 -3.4405E+01  7.1436E-06
 -3.4393E+01  6.5853E-06
 -3.4381E+01  5.8025E-06
 -3.4369E+01  5.2950E-06
 -3.4357E+01  5.4578E-06
 -3.4345E+01  6.3410E-06
 -3.4333E+01  7.5911E-06
 -3.4321E+01  8.6085E-06
 -3.4309E+01  8.8464E-06
 -3.4297E+01  8.1037E-06
 -3.4285E+01  6.6618E-06
 -3.4274E+01  5.1910E-06
 -3.4262E+01  4.4626E-06
 -3.4250E+01  4.9982E-06
 -3.4238E+01  6.8202E-06
 -3.4226E+01  9.4244E-06
 -3.4214E+01  1.1988E-05
 -3.4202E+01  1.3721E-05
 -3.4190E+01  1.4185E-05
 -3.4178E+01  1.3457E-05
 -3.4166E+01  1.2031E-05
 -3.4154E+01  1.0550E-05
 -3.4143E+01  9.4807E-06
