  Nz=Nparall      Px    
 -3.2892E+01  2.2316E-05
 -3.2880E+01  1.9993E-05
 -3.2868E+01  1.6439E-05
 -3.2856E+01  1.2595E-05
 -3.2845E+01  9.4500E-06
 -3.2833E+01  7.6623E-06
 -3.2821E+01  7.3639E-06
 -3.2809E+01  8.2250E-06
 -3.2797E+01  9.7272E-06
 -3.2785E+01  1.1495E-05
 -3.2773E+01  1.3504E-05
 -3.2761E+01  1.6056E-05
 -3.2749E+01  1.9513E-05
 -3.2737E+01  2.3948E-05
 -3.2725E+01  2.8883E-05
 -3.2714E+01  3.3291E-05
 -3.2702E+01  3.5908E-05
 -3.2690E+01  3.5721E-05
 -3.2678E+01  3.2448E-05
 -3.2666E+01  2.6756E-05
 -3.2654E+01  2.0106E-05
 -3.2642E+01  1.4261E-05
 -3.2630E+01  1.0641E-05
 -3.2618E+01  9.8156E-06
 -3.2606E+01  1.1330E-05
 -3.2594E+01  1.3961E-05
 -3.2583E+01  1.6274E-05
 -3.2571E+01  1.7247E-05
 -3.2559E+01  1.6684E-05
 -3.2547E+01  1.5233E-05
 -3.2535E+01  1.4020E-05
 -3.2523E+01  1.4060E-05
 -3.2511E+01  1.5742E-05
 -3.2499E+01  1.8608E-05
 -3.2487E+01  2.1542E-05
 -3.2475E+01  2.3279E-05
 -3.2463E+01  2.2986E-05
 -3.2452E+01  2.0653E-05
 -3.2440E+01  1.7110E-05
 -3.2428E+01  1.3658E-05
 -3.2416E+01  1.1494E-05
 -3.2404E+01  1.1182E-05
 -3.2392E+01  1.2428E-05
 -3.2380E+01  1.4249E-05
 -3.2368E+01  1.5456E-05
 -3.2356E+01  1.5231E-05
 -3.2344E+01  1.3528E-05
 -3.2332E+01  1.1105E-05
 -3.2321E+01  9.1983E-06
 -3.2309E+01  8.9577E-06
 -3.2297E+01  1.0927E-05
 -3.2285E+01  1.4786E-05
 -3.2273E+01  1.9466E-05
 -3.2261E+01  2.3578E-05
 -3.2249E+01  2.5950E-05
 -3.2237E+01  2.6041E-05
 -3.2225E+01  2.4076E-05
 -3.2213E+01  2.0849E-05
 -3.2201E+01  1.7350E-05
 -3.2190E+01  1.4360E-05
 -3.2178E+01  1.2236E-05
 -3.2166E+01  1.0916E-05
 -3.2154E+01  1.0127E-05
 -3.2142E+01  9.6393E-06
 -3.2130E+01  9.4239E-06
 -3.2118E+01  9.6302E-06
 -3.2106E+01  1.0421E-05
 -3.2094E+01  1.1773E-05
 -3.2082E+01  1.3390E-05
 -3.2070E+01  1.4779E-05
 -3.2059E+01  1.5499E-05
 -3.2047E+01  1.5412E-05
 -3.2035E+01  1.4832E-05
 -3.2023E+01  1.4444E-05
 -3.2011E+01  1.5022E-05
 -3.1999E+01  1.7069E-05
 -3.1987E+01  2.0551E-05
 -3.1975E+01  2.4869E-05
 -3.1963E+01  2.9087E-05
 -3.1951E+01  3.2319E-05
 -3.1939E+01  3.4083E-05
 -3.1928E+01  3.4440E-05
 -3.1916E+01  3.3861E-05
 -3.1904E+01  3.2885E-05
 -3.1892E+01  3.1774E-05
 -3.1880E+01  3.0367E-05
 -3.1868E+01  2.8235E-05
 -3.1856E+01  2.5095E-05
 -3.1844E+01  2.1246E-05
 -3.1832E+01  1.7792E-05
 -3.1820E+01  1.6438E-05
 -3.1808E+01  1.8905E-05
 -3.1797E+01  2.6144E-05
 -3.1785E+01  3.7736E-05
 -3.1773E+01  5.1761E-05
 -3.1761E+01  6.5283E-05
 -3.1749E+01  7.5293E-05
 -3.1737E+01  7.9743E-05
 -3.1725E+01  7.8222E-05
 -3.1713E+01  7.1981E-05
 -3.1701E+01  6.3293E-05
 -3.1689E+01  5.4445E-05
 -3.1677E+01  4.6843E-05
 -3.1666E+01  4.0637E-05
 -3.1654E+01  3.5058E-05
 -3.1642E+01  2.9261E-05
 -3.1630E+01  2.3219E-05
 -3.1618E+01  1.8149E-05
 -3.1606E+01  1.6159E-05
 -3.1594E+01  1.9192E-05
 -3.1582E+01  2.7761E-05
 -3.1570E+01  4.0140E-05
 -3.1558E+01  5.2595E-05
 -3.1546E+01  6.0757E-05
 -3.1535E+01  6.1732E-05
 -3.1523E+01  5.6077E-05
 -3.1511E+01  4.8682E-05
 -3.1499E+01  4.7977E-05
 -3.1487E+01  6.3481E-05
 -3.1475E+01  1.0246E-04
 -3.1463E+01  1.6692E-04
 -3.1451E+01  2.5202E-04
 -3.1439E+01  3.4669E-04
 -3.1427E+01  4.3631E-04
 -3.1415E+01  5.0643E-04
 -3.1404E+01  5.4639E-04
 -3.1392E+01  5.5153E-04
 -3.1380E+01  5.2344E-04
 -3.1368E+01  4.6848E-04
 -3.1356E+01  3.9559E-04
 -3.1344E+01  3.1435E-04
 -3.1332E+01  2.3432E-04
 -3.1320E+01  1.6557E-04
 -3.1308E+01  1.1965E-04
 -3.1296E+01  1.0994E-04
 -3.1284E+01  1.5016E-04
 -3.1273E+01  2.5096E-04
 -3.1261E+01  4.1526E-04
 -3.1249E+01  6.3406E-04
 -3.1237E+01  8.8466E-04
 -3.1225E+01  1.1328E-03
 -3.1213E+01  1.3386E-03
 -3.1201E+01  1.4656E-03
 -3.1189E+01  1.4897E-03
 -3.1177E+01  1.4053E-03
 -3.1165E+01  1.2276E-03
 -3.1153E+01  9.8813E-04
 -3.1142E+01  7.2773E-04
 -3.1130E+01  4.8637E-04
 -3.1118E+01  2.9489E-04
 -3.1106E+01  1.6991E-04
 -3.1094E+01  1.1322E-04
 -3.1082E+01  1.1499E-04
 -3.1070E+01  1.5915E-04
 -3.1058E+01  2.2867E-04
 -3.1046E+01  3.0910E-04
 -3.1034E+01  3.8967E-04
 -3.1022E+01  4.6241E-04
 -3.1011E+01  5.2042E-04
 -3.0999E+01  5.5688E-04
 -3.0987E+01  5.6537E-04
 -3.0975E+01  5.4159E-04
 -3.0963E+01  4.8558E-04
 -3.0951E+01  4.0322E-04
 -3.0939E+01  3.0588E-04
 -3.0927E+01  2.0819E-04
 -3.0915E+01  1.2439E-04
 -3.0903E+01  6.4582E-05
 -3.0891E+01  3.2195E-05
 -3.0880E+01  2.3693E-05
 -3.0868E+01  3.0455E-05
 -3.0856E+01  4.2138E-05
 -3.0844E+01  5.0194E-05
 -3.0832E+01  5.0276E-05
 -3.0820E+01  4.2786E-05
 -3.0808E+01  3.1602E-05
 -3.0796E+01  2.1707E-05
 -3.0784E+01  1.6811E-05
 -3.0772E+01  1.7908E-05
 -3.0760E+01  2.3212E-05
 -3.0749E+01  2.9304E-05
 -3.0737E+01  3.2828E-05
 -3.0725E+01  3.1948E-05
 -3.0713E+01  2.6963E-05
 -3.0701E+01  1.9920E-05
 -3.0689E+01  1.3525E-05
 -3.0677E+01  9.9052E-06
 -3.0665E+01  9.7904E-06
 -3.0653E+01  1.2412E-05
 -3.0641E+01  1.6071E-05
 -3.0629E+01  1.9021E-05
 -3.0618E+01  2.0233E-05
 -3.0606E+01  1.9705E-05
 -3.0594E+01  1.8233E-05
 -3.0582E+01  1.6852E-05
 -3.0570E+01  1.6243E-05
 -3.0558E+01  1.6411E-05
 -3.0546E+01  1.6763E-05
 -3.0534E+01  1.6498E-05
 -3.0522E+01  1.5089E-05
 -3.0510E+01  1.2586E-05
 -3.0498E+01  9.6199E-06
 -3.0487E+01  7.1025E-06
 -3.0475E+01  5.8024E-06
 -3.0463E+01  6.0096E-06
 -3.0451E+01  7.4472E-06
 -3.0439E+01  9.4526E-06
 -3.0427E+01  1.1315E-05
 -3.0415E+01  1.2587E-05
 -3.0403E+01  1.3226E-05
 -3.0391E+01  1.3498E-05
 -3.0379E+01  1.3733E-05
 -3.0367E+01  1.4074E-05
 -3.0356E+01  1.4351E-05
 -3.0344E+01  1.4169E-05
 -3.0332E+01  1.3141E-05
 -3.0320E+01  1.1164E-05
 -3.0308E+01  8.5616E-06
 -3.0296E+01  6.0317E-06
 -3.0284E+01  4.3982E-06
 -3.0272E+01  4.2810E-06
 -3.0260E+01  5.8345E-06
 -3.0248E+01  8.6722E-06
 -3.0236E+01  1.2009E-05
 -3.0225E+01  1.4951E-05
 -3.0213E+01  1.6810E-05
 -3.0201E+01  1.7301E-05
 -3.0189E+01  1.6571E-05
 -3.0177E+01  1.5050E-05
 -3.0165E+01  1.3230E-05
 -3.0153E+01  1.1465E-05
 -3.0141E+01  9.8875E-06
 -3.0129E+01  8.4475E-06
 -3.0117E+01  7.0416E-06
 -3.0105E+01  5.6417E-06
 -3.0094E+01  4.3582E-06
 -3.0082E+01  3.4070E-06
 -3.0070E+01  3.0053E-06
 -3.0058E+01  3.2555E-06
 -3.0046E+01  4.0776E-06
 -3.0034E+01  5.2220E-06
 -3.0022E+01  6.3546E-06
 -3.0010E+01  7.1706E-06
 -2.9998E+01  7.4878E-06
 -2.9986E+01  7.2858E-06
 -2.9974E+01  6.6847E-06
 -2.9963E+01  5.8872E-06
 -2.9951E+01  5.1142E-06
 -2.9939E+01  4.5581E-06
 -2.9927E+01  4.3587E-06
 -2.9915E+01  4.5944E-06
 -2.9903E+01  5.2737E-06
 -2.9891E+01  6.3256E-06
 -2.9879E+01  7.5980E-06
 -2.9867E+01  8.8753E-06
 -2.9855E+01  9.9257E-06
 -2.9843E+01  1.0564E-05
 -2.9832E+01  1.0709E-05
 -2.9820E+01  1.0402E-05
 -2.9808E+01  9.7816E-06
 -2.9796E+01  9.0166E-06
 -2.9784E+01  8.2389E-06
 -2.9772E+01  7.5125E-06
 -2.9760E+01  6.8596E-06
 -2.9748E+01  6.3314E-06
 -2.9736E+01  6.0789E-06
 -2.9724E+01  6.3686E-06
 -2.9712E+01  7.5145E-06
 -2.9701E+01  9.7376E-06
 -2.9689E+01  1.3014E-05
 -2.9677E+01  1.6990E-05
 -2.9665E+01  2.1022E-05
 -2.9653E+01  2.4354E-05
 -2.9641E+01  2.6358E-05
 -2.9629E+01  2.6745E-05
 -2.9617E+01  2.5650E-05
 -2.9605E+01  2.3534E-05
 -2.9593E+01  2.0975E-05
 -2.9581E+01  1.8425E-05
 -2.9570E+01  1.6076E-05
